,run,round,hold_1,hold_2,score_1,score_2
0,1,1,"['egg nigiri', 'pudding', 'dumpling', 'tempura', 'sashimi', 'salmon nigiri', 'wasabi', 'dumpling', 'maki roll 3', 'salmon nigiri']","['salmon nigiri', 'wasabi', 'pudding', 'salmon nigiri', 'tempura', 'dumpling', 'salmon nigiri', 'maki roll 2', 'sashimi', 'maki roll 1']",11,10
1,1,2,"['pudding', 'sashimi', 'sashimi', 'maki roll 1', 'tempura', 'tempura', 'pudding', 'dumpling', 'tempura', 'maki roll 2', 'sashimi']","['pudding', 'maki roll 3', 'tempura', 'maki roll 3', 'egg nigiri', 'chopsticks', 'pudding', 'sashimi', 'dumpling', 'dumpling', 'dumpling']",30,20
2,1,3,"['pudding', 'pudding', 'dumpling', 'maki roll 1', 'maki roll 2', 'sashimi', 'maki roll 2', 'squid nigiri', 'pudding', 'maki roll 3', 'wasabi', 'maki roll 3']","['pudding', 'pudding', 'tempura', 'maki roll 2', 'sashimi', 'squid nigiri', 'dumpling', 'pudding', 'sashimi', 'egg nigiri', 'chopsticks', 'tempura']",43,36
3,2,1,"['dumpling', 'sashimi', 'salmon nigiri', 'maki roll 2', 'maki roll 2', 'salmon nigiri', 'tempura', 'tempura', 'wasabi', 'wasabi']","['dumpling', 'sashimi', 'maki roll 2', 'tempura', 'maki roll 2', 'sashimi', 'pudding', 'salmon nigiri', 'maki roll 1', 'dumpling']",13,8
4,2,2,"['wasabi', 'dumpling', 'sashimi', 'maki roll 1', 'chopsticks', 'dumpling', 'tempura', 'maki roll 3', 'dumpling', 'sashimi']","['pudding', 'maki roll 3', 'dumpling', 'maki roll 3', 'sashimi', 'squid nigiri', 'dumpling', 'sashimi', 'squid nigiri', 'maki roll 2', 'salmon nigiri']",22,22
5,2,3,"['wasabi', 'pudding', 'squid nigiri', 'maki roll 2', 'maki roll 3', 'tempura', 'maki roll 1', 'wasabi', 'maki roll 3', 'pudding']","['pudding', 'sashimi', 'sashimi', 'maki roll 2', 'pudding', 'wasabi', 'salmon nigiri', 'maki roll 2', 'salmon nigiri', 'pudding', 'sashimi']",25,45
6,3,1,"['salmon nigiri', 'squid nigiri', 'wasabi', 'maki roll 3', 'tempura', 'squid nigiri', 'maki roll 2', 'maki roll 2', 'maki roll 1', 'maki roll 3']","['tempura', 'maki roll 1', 'dumpling', 'tempura', 'squid nigiri', 'dumpling', 'pudding', 'maki roll 2', 'egg nigiri', 'tempura']",14,15
7,3,2,"['tempura', 'sashimi', 'dumpling', 'salmon nigiri', 'sashimi', 'sashimi', 'dumpling', 'sashimi', 'chopsticks', 'dumpling']","['pudding', 'sashimi', 'pudding', 'chopsticks', 'egg nigiri', 'dumpling', 'wasabi', 'sashimi', 'dumpling', 'maki roll 3', 'sashimi']",35,32
8,3,3,"['sashimi', 'pudding', 'sashimi', 'pudding', 'chopsticks', 'maki roll 3', 'pudding', 'dumpling', 'maki roll 2', 'maki roll 2']","['pudding', 'pudding', 'maki roll 3', 'egg nigiri', 'pudding', 'tempura', 'dumpling', 'chopsticks', 'maki roll 1', 'pudding', 'maki roll 3', 'dumpling']",33,45
9,4,1,"['sashimi', 'maki roll 3', 'tempura', 'sashimi', 'wasabi', 'chopsticks', 'chopsticks', 'tempura', 'sashimi', 'egg nigiri']","['maki roll 3', 'maki roll 2', 'dumpling', 'dumpling', 'maki roll 3', 'tempura', 'tempura', 'squid nigiri', 'sashimi', 'sashimi']",19,14
10,4,2,"['tempura', 'squid nigiri', 'squid nigiri', 'tempura', 'sashimi', 'dumpling', 'sashimi', 'dumpling', 'squid nigiri', 'sashimi']","['wasabi', 'maki roll 3', 'wasabi', 'pudding', 'egg nigiri', 'tempura', 'maki roll 2', 'maki roll 3', 'sashimi', 'egg nigiri']",49,19
11,4,3,"['dumpling', 'maki roll 2', 'dumpling', 'maki roll 2', 'maki roll 1', 'salmon nigiri', 'dumpling', 'pudding', 'maki roll 2', 'dumpling']","['pudding', 'salmon nigiri', 'maki roll 2', 'tempura', 'maki roll 1', 'salmon nigiri', 'tempura', 'maki roll 3', 'salmon nigiri', 'wasabi', 'maki roll 1']",67,36
12,5,1,"['salmon nigiri', 'salmon nigiri', 'sashimi', 'maki roll 1', 'maki roll 3', 'salmon nigiri', 'maki roll 2', 'maki roll 2', 'maki roll 2', 'chopsticks']","['wasabi', 'maki roll 3', 'maki roll 3', 'squid nigiri', 'wasabi', 'maki roll 2', 'tempura', 'salmon nigiri', 'dumpling', 'tempura']",12,14
13,5,2,"['dumpling', 'tempura', 'pudding', 'squid nigiri', 'egg nigiri', 'tempura', 'chopsticks', 'sashimi', 'sashimi', 'chopsticks']","['wasabi', 'tempura', 'sashimi', 'egg nigiri', 'sashimi', 'dumpling', 'pudding', 'dumpling', 'chopsticks', 'salmon nigiri']",25,23
14,5,3,"['pudding', 'tempura', 'dumpling', 'pudding', 'squid nigiri', 'pudding', 'sashimi', 'pudding', 'dumpling', 'maki roll 2', 'pudding']","['pudding', 'dumpling', 'dumpling', 'tempura', 'maki roll 3', 'dumpling', 'maki roll 1', 'maki roll 2', 'maki roll 2', 'wasabi', 'maki roll 2']",40,26
15,6,1,"['maki roll 2', 'tempura', 'salmon nigiri', 'pudding', 'maki roll 1', 'tempura', 'maki roll 2', 'chopsticks', 'maki roll 2', 'chopsticks']","['maki roll 2', 'maki roll 1', 'pudding', 'dumpling', 'maki roll 3', 'maki roll 3', 'maki roll 2', 'wasabi', 'wasabi', 'dumpling']",10,6
16,6,2,"['pudding', 'squid nigiri', 'pudding', 'sashimi', 'sashimi', 'tempura', 'pudding', 'sashimi', 'maki roll 2', 'wasabi', 'salmon nigiri']","['pudding', 'tempura', 'tempura', 'dumpling', 'squid nigiri', 'sashimi', 'maki roll 3', 'sashimi', 'salmon nigiri', 'tempura', 'tempura']",28,25
17,6,3,"['pudding', 'pudding', 'pudding', 'dumpling', 'maki roll 1', 'salmon nigiri', 'wasabi', 'tempura', 'sashimi', 'sashimi', 'pudding', 'dumpling', 'salmon nigiri']","['pudding', 'squid nigiri', 'pudding', 'egg nigiri', 'dumpling', 'salmon nigiri', 'tempura', 'egg nigiri', 'dumpling', 'dumpling', 'salmon nigiri']",47,37
18,7,1,"['tempura', 'maki roll 3', 'sashimi', 'maki roll 2', 'salmon nigiri', 'salmon nigiri', 'tempura', 'maki roll 3', 'maki roll 3', 'sashimi']","['tempura', 'wasabi', 'maki roll 3', 'wasabi', 'maki roll 3', 'sashimi', 'egg nigiri', 'chopsticks', 'squid nigiri', 'tempura']",15,12
19,7,2,"['salmon nigiri', 'maki roll 1', 'dumpling', 'egg nigiri', 'sashimi', 'maki roll 2', 'dumpling', 'tempura', 'pudding', 'wasabi']","['maki roll 2', 'chopsticks', 'maki roll 3', 'maki roll 2', 'dumpling', 'squid nigiri', 'egg nigiri', 'dumpling', 'squid nigiri', 'maki roll 2']",24,25
